FECHA;PRECIO DÓLAR;KO;VALOR INV;VALOR COP;GAN/PER
14/05/2025; $ 4.221,51 ; $ 69,16 ; $ 7,53 ; $ 31.794,40 ; $ 0,59 
15/05/2025; $ 4.181,48 ; $ 71,61 ; $ 7,80 ; $ 32.608,56 ; $ 0,86 
16/05/2025; $ 4.199,19 ; $ 72,00 ; $ 7,84 ; $ 32.925,01 ; $ 0,90 
19/05/2025; $ 4.176,50 ; $ 71,93 ; $ 7,83 ; $ 32.715,26 ; $ 0,89 
20/05/2025; $ 4.175,59 ; $ 71,69 ; $ 7,81 ; $ 32.599,00 ; $ 0,87 
21/05/2025; $ 4.172,52 ; $ 71,85 ; $ 7,82 ; $ 32.647,74 ; $ 0,88 
22/05/2025; $ 4.168,58 ; $ 71,14 ; $ 7,75 ; $ 32.294,60 ; $ 0,81 
23/05/2025; $ 4.176,33 ; $ 71,77 ; $ 7,82 ; $ 32.641,16 ; $ 0,88 
27/05/2025; $ 4.146,35 ; $ 71,78 ; $ 7,82 ; $ 32.411,36 ; $ 0,88 
28/05/2025; $ 4.112,41 ; $ 71,15 ; $ 7,75 ; $ 31.863,92 ; $ 0,81 
29/05/2025; $ 4.125,21 ; $ 71,49 ; $ 7,79 ; $ 32.115,84 ; $ 0,85 
30/05/2025; $ 4.122,93 ; $ 72,10 ; $ 7,85 ; $ 32.371,97 ; $ 0,91 
2/06/2025; $ 4.149,30 ; $ 72,00 ; $ 7,84 ; $ 32.533,83 ; $ 0,90 
3/06/2025; $ 4.149,30 ; $ 71,16 ; $ 7,75 ; $ 32.154,27 ; $ 0,81 
4/06/2025; $ 4.108,30 ; $ 71,37 ; $ 7,77 ; $ 31.930,50 ; $ 0,83 
5/06/2025; $ 4.110,14 ; $ 70,91 ; $ 7,72 ; $ 31.738,91 ; $ 0,78 
6/06/2025; $ 4.114,19 ; $ 71,35 ; $ 7,77 ; $ 31.967,32 ; $ 0,83 
9/06/2025; $ 4.115,59 ; $ 71,77 ; $ 7,82 ; $ 32.166,43 ; $ 0,88 
10/06/2025; $ 4.141,19 ; $ 71,91 ; $ 7,83 ; $ 32.429,65 ; $ 0,89 
11/06/2025; $ 4.196,14 ; $ 72,07 ; $ 7,85 ; $ 32.933,08 ; $ 0,91 
12/06/2025; $ 4.180,56 ; $ 72,24 ; $ 7,87 ; $ 32.888,20 ; $ 0,93 
13/06/2025; $ 4.155,00 ; $ 71,02 ; $ 7,73 ; $ 32.135,09 ; $ 0,79 
16/06/2025; $ 4.115,32 ; $ 70,52 ; $ 7,68 ; $ 31.604,13 ; $ 0,74 
17/06/2025; $ 4.106,05 ; $ 69,62 ; $ 7,58 ; $ 31.130,50 ; $ 0,64 
18/06/2025; $ 4.100,83 ; $ 69,21 ; $ 7,54 ; $ 30.907,83 ; $ 0,60 
20/06/2025; $ 4.080,00 ; $ 68,84 ; $ 7,50 ; $ 30.586,44 ; $ 0,56 
23/06/2025; $ 4.080,00 ; $ 69,74 ; $ 7,59 ; $ 30.986,32 ; $ 0,65 
24/06/2025; $ 4.084,00 ; $ 70,21 ; $ 7,65 ; $ 31.225,73 ; $ 0,71 
25/06/2025; $ 4.077,42 ; $ 69,63 ; $ 7,58 ; $ 30.917,88 ; $ 0,64 
26/06/2025; $ 4.067,38 ; $ 69,47 ; $ 7,57 ; $ 30.770,88 ; $ 0,63 
27/06/2025; $ 4.039,17 ; $ 70,75 ; $ 7,70 ; $ 31.120,49 ; $ 0,76 
1/07/2025; $ 4.087,38 ; $ 71,67 ; $ 7,80 ; $ 31.901,44 ; $ 0,86 
2/07/2025; $ 4.029,69 ; $ 70,91 ; $ 7,72 ; $ 31.117,67 ; $ 0,78 
3/07/2025; $ 3.995,00 ; $ 71,35 ; $ 7,77 ; $ 31.041,21 ; $ 0,83 
7/07/2025; $ 3.985,33 ; $ 71,01 ; $ 7,73 ; $ 30.818,51 ; $ 0,79 
8/07/2025; $ 4.053,69 ; $ 70,24 ; $ 7,65 ; $ 31.007,23 ; $ 0,71 
9/07/2025; $ 4.047,99 ; $ 69,48 ; $ 7,57 ; $ 30.628,60 ; $ 0,63 
10/07/2025; $ 4.013,47 ; $ 69,77 ; $ 7,60 ; $ 30.494,16 ; $ 0,66 
11/07/2025; $ 4.012,29 ; $ 69,87 ; $ 7,61 ; $ 30.528,88 ; $ 0,67 
14/07/2025; $ 4.004,69 ; $ 69,47 ; $ 7,57 ; $ 30.296,61 ; $ 0,63 
